URBAN FRAME SURVEY 2022-27,,,,,,,,,,,,,
"WEEKLY PROGRS REPORT  (24th January 2026 -30th, January 2026) as on 30th January 2026 ....*...//*,,",,,,,,,,,,,,,
Sl. No.,Scheme ,,,,,,,,No. of towns completed in all respect,,"No. of towns dispatched to Hqrs. 
(Zone/QC to FOD Hqrs)",,
,,,Towns in field,,,,Blocks formed in field,,,,,,
,,,During 24th January 2025 -30th January 2026,Completed Since Start,Under Survey,% Towns Completed,During 24th January 2025 -30th January 2026,Since Start,During 24th January 2025 -30th January 2026,Since Start,During 24th January 2025 -30th January 2026,Since Start,Update Y/N
1,Shimla,25,0,22,1,88,39,922,0,22,0,22,
2,Hamirpur,15,0,13,0,87,0,239,0,13,0,13,
3,Dhramshala,16,0,13,1,81,2,432,0,13,0,13,Y
4,Mandi,13,0,11,0,85,0,408,0,10,0,10,
,,69,0,59,2,85.51,41,2001,0,58,0,58,
